"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Gadd45g",2.05631594721585e-10,-0.371483682985502,0.821,0.954,3.78793960636632e-06
"Fos",4.24465096442493e-10,-0.313601732125989,0.925,0.99,7.81907154156716e-06
"Gadd45b",4.67790935569006e-09,-0.446513736196685,0.749,0.903,8.61717682411666e-05
"Tiparp",2.62065477893214e-08,-0.458086556062047,0.303,0.464,0.00048275081682709
"Npas4",1.62390351567262e-07,-0.262529444132795,0.821,0.929,0.00299139266622054
"Arl4d",2.72050572708681e-07,-0.43908612238889,0.69,0.801,0.0050114435998666
"Rprm",6.73010678749535e-07,-0.255899856224442,0.88,0.944,0.0123975297132452
"Btg2",9.01855832969434e-07,-0.296561351471988,0.876,0.918,0.0166130862991299
"Egr2",1.35926344908368e-06,-0.330486196999133,0.477,0.653,0.0250389919955705
"Egr4",1.62920624242106e-06,-0.387145725879898,0.766,0.847,0.0300116081916384
"Dusp1",2.49463952308567e-06,-0.27985800400826,0.876,0.944,0.0459537546547611
"Klf5",3.35512932471776e-06,-0.261377894324184,0.603,0.735,0.0618048372906259
"Sgk1",2.41021409808592e-05,-0.303925628672155,0.709,0.821,0.443985539008408
"Ntng1",8.36581979797254e-05,0.327364001341033,0.208,0.092,1
"Igfbp4",8.98337102704866e-05,0.345337456089522,0.481,0.367,1
"Nr4a2",0.000121443963421217,-0.478352431559537,0.501,0.582,1
"Nr4a3",0.00012294516845319,-0.283823682655279,0.654,0.73,1
"Dnajb1",0.000245535976670788,-0.262154543175857,0.868,0.929,1
"Mest",0.0013139785888332,-0.264693669469396,0.534,0.622,1
"Pou3f1",0.00154895034378474,0.297116592249165,0.206,0.097,1
"Stxbp6",0.00305735594507921,0.271150724070464,0.193,0.092,1
"Neat1",0.00646007590338636,-0.274595515237039,0.167,0.235,1
"Gm13889",0.0302574364992034,-0.415103224659851,0.322,0.393,1
"Myl4",0.054373423580298,0.256576968180252,0.365,0.296,1
