"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC"
0.4323,0.2933,0.5833,0.0327,0.0619,-0.0149,-0.0587
0.4526,0.2,0.7333,0.0445,0.084,-0.0114,-0.0541
0.4845,0.2933,0.6923,0.0415,0.0783,-0.0038,-0.0148
0.6424,0.3067,1,0.0545,0.1034,0.0299,0.1231
0.4878,0.4,0.5833,0.0385,0.0722,-0.0031,-0.0098
0.5343,0.18,0.9231,0.0467,0.0889,0.007,0.0403
0.5491,0.3233,0.8,0.0566,0.1057,0.0136,0.047
0.5964,0.36,0.8571,0.0594,0.1111,0.0261,0.0867
0.5128,0.1333,0.9375,0.0547,0.1034,0.003,0.0204
0.6239,0.3567,0.9091,0.0495,0.0939,0.0262,0.0981
0.5602,0.3667,0.7692,0.0508,0.0952,0.0152,0.0505
0.4961,0.2467,0.7692,0.0429,0.0813,-9e-04,-0.0038
0.5139,0.22,0.8333,0.0413,0.0787,0.0027,0.0138
0.4718,0.2233,0.75,0.0498,0.0934,-0.0074,-0.0318
0.5655,0.2533,0.9,0.0388,0.0744,0.0112,0.0562
0.4759,0.2667,0.7,0.0312,0.0598,-0.0043,-0.0199
0.5207,0.1667,0.9,0.0349,0.0672,0.0032,0.0214
0.5586,0.24,0.9,0.0381,0.0732,0.0098,0.0514
0.4683,0.31,0.6429,0.0427,0.08,-0.0082,-0.0293
0.5202,0.15,0.9286,0.0487,0.0925,0.0042,0.0273
0.6077,0.3433,0.8889,0.0392,0.0751,0.0187,0.0788
0.5447,0.1967,0.9286,0.0514,0.0974,0.0098,0.0519
0.4901,0.1833,0.8182,0.0357,0.0684,-0.002,-0.0116
0.5769,0.3533,0.8182,0.0448,0.0849,0.0165,0.0615
0.431,0.2733,0.6,0.0273,0.0522,-0.0124,-0.056
0.5069,0.36,0.6667,0.0408,0.0769,0.0017,0.0057
0.4531,0.2833,0.6364,0.0321,0.0611,-0.0093,-0.0395
0.6305,0.4567,0.8182,0.0529,0.0994,0.0328,0.099
0.428,0.1867,0.6923,0.0361,0.0687,-0.0149,-0.078
0.4053,0.19,0.6429,0.0364,0.069,-0.0212,-0.1047
0.3858,0.3167,0.4615,0.0294,0.0553,-0.0285,-0.0997
0.5347,0.3367,0.75,0.0439,0.0829,0.008,0.0293
0.5198,0.2433,0.8182,0.0385,0.0735,0.0037,0.018
0.5579,0.16,1,0.0562,0.1064,0.0129,0.0807
0.5551,0.2133,0.9286,0.0524,0.0992,0.0119,0.0596
0.4657,0.1833,0.7692,0.0397,0.0755,-0.0076,-0.0411
0.5699,0.18,1,0.0538,0.1022,0.0149,0.0868
0.467,0.13,0.8333,0.0372,0.0712,-0.0059,-0.0425
0.5206,0.2233,0.8462,0.0455,0.0863,0.0044,0.0213
0.552,0.21,0.9231,0.0484,0.092,0.0105,0.0542
0.5945,0.3033,0.9,0.0415,0.0793,0.0166,0.0733
0.5237,0.1433,0.9333,0.0519,0.0982,0.0039,0.0255
0.4995,0.24,0.7857,0.0466,0.088,-1e-04,-5e-04
0.5206,0.3267,0.7333,0.0526,0.0982,0.0054,0.0183
0.4124,0.1567,0.6923,0.0349,0.0664,-0.0175,-0.1029
0.4228,0.2233,0.6429,0.038,0.0717,-0.018,-0.0799
0.3876,0.32,0.4615,0.0296,0.0556,-0.0282,-0.0979
0.5475,0.2967,0.8182,0.0413,0.0786,0.0095,0.0401
0.4909,0.2367,0.7692,0.0424,0.0803,-0.002,-0.0091
0.538,0.19,0.9167,0.0435,0.083,0.0072,0.0412
0.5342,0.1767,0.9286,0.0502,0.0952,0.0073,0.042
0.4792,0.23,0.75,0.038,0.0723,-0.0042,-0.02
0.412,0.2267,0.6154,0.034,0.0645,-0.0192,-0.0868
0.5257,0.3033,0.7692,0.0463,0.0873,0.0061,0.0233
0.4966,0.2133,0.8,0.0331,0.0635,-6e-04,-0.0031
0.5561,0.2433,0.8889,0.0342,0.0658,0.0086,0.0462
0.3894,0.2533,0.5385,0.0311,0.0588,-0.0252,-0.104
0.5825,0.2067,1,0.0593,0.1119,0.0194,0.0989
0.5164,0.2367,0.8182,0.0381,0.0729,0.003,0.015
0.5047,0.3333,0.6923,0.0439,0.0826,0.0012,0.0041
0.4693,0.2467,0.7143,0.0431,0.0813,-0.0074,-0.0312
0.4618,0.2733,0.6667,0.036,0.0684,-0.0081,-0.0341
0.6362,0.3833,0.9091,0.0515,0.0976,0.0303,0.1071
0.5292,0.1633,0.9231,0.0458,0.0873,0.0051,0.0318
0.4965,0.2633,0.75,0.0396,0.0753,-7e-04,-0.0032
0.4645,0.3267,0.6154,0.039,0.0734,-0.0088,-0.0311
0.5069,0.2067,0.8333,0.0407,0.0775,0.0013,0.0071
0.498,0.1667,0.8571,0.0462,0.0876,-0.0011,-0.0062
0.4454,0.2267,0.6875,0.0462,0.0866,-0.0148,-0.062
0.4423,0.1767,0.7273,0.0317,0.0608,-0.0101,-0.06
0.5206,0.4133,0.6364,0.0391,0.0737,0.0049,0.0158
0.5767,0.19,1,0.0508,0.0967,0.0155,0.0882
0.4436,0.14,0.75,0.0341,0.0652,-0.0122,-0.0817
0.4744,0.24,0.7273,0.0343,0.0656,-0.0048,-0.0231
0.4141,0.16,0.6923,0.035,0.0667,-0.0173,-0.0998
0.4034,0.1267,0.7,0.0263,0.0507,-0.0145,-0.1093
0.4414,0.2933,0.6,0.028,0.0536,-0.0108,-0.0465
0.4251,0.3133,0.5455,0.029,0.055,-0.0157,-0.061
0.4627,0.1933,0.75,0.0363,0.0692,-0.0077,-0.0413
0.5496,0.1967,0.9286,0.0514,0.0974,0.0098,0.0519
0.5343,0.38,0.7,0.0368,0.07,0.0071,0.0257
0.4141,0.2067,0.6429,0.0372,0.0703,-0.0197,-0.0918
0.5516,0.2133,0.9167,0.0447,0.0853,0.0097,0.0514
0.457,0.3533,0.5714,0.0408,0.0762,-0.012,-0.0381
0.4083,0.2233,0.6,0.0255,0.049,-0.016,-0.0826
0.5055,0.3,0.7273,0.0372,0.0708,0.0011,0.0046
0.5373,0.3367,0.75,0.0439,0.0829,0.008,0.0293
0.5415,0.1967,0.9167,0.0438,0.0837,0.0079,0.0442
0.5017,0.35,0.6667,0.0402,0.0758,4e-04,0.0014
0.2879,0.1833,0.4,0.0165,0.0316,-0.0346,-0.1941
0.5133,0.3733,0.6667,0.0417,0.0784,0.0034,0.0113
0.5534,0.2133,0.9286,0.0524,0.0992,0.0119,0.0596
0.5431,0.21,0.9,0.0367,0.0706,0.007,0.04
0.489,0.22,0.7857,0.0455,0.0859,-0.0025,-0.0117
0.5422,0.2567,0.8571,0.0515,0.0972,0.01,0.0428
0.5048,0.2633,0.7692,0.0439,0.083,0.0011,0.0046
0.5898,0.22,1,0.064,0.1203,0.0223,0.1061
0.5181,0.24,0.8182,0.0383,0.0732,0.0034,0.0165
0.5256,0.2333,0.8462,0.046,0.0873,0.0056,0.0262
0.5105,0.1967,0.8571,0.0478,0.0906,0.0024,0.0123
